"site","plot","plot_size","date","observers","thaw_depth_1","thaw_depth_2","thaw_depth_3","thaw_depth_4","thaw_depth_5","thaw_depth_6","thaw_depth_7","nadircover_trees_live","nadircover_shrublive","nadircover_shrubdead","nadircover_woodydebrislive","nadircover_woodydebrisdead","nadircover_herbaceouslive","nadircover_herbaceousdead","nadircover_mosslive","nadircover_mossdead","nadircover_liverwortlive","nadircover_liverwortdead","nadircover_mineralsoil","nadircover_equisetumlive","nadircover_water","notes"
"VALSS3-205","B1","5x10","2019-08-19","SR, MB,PS,CW",">100",">100",">100",">100",">100",">100",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALSS50-4","B1","5X5","2019-08-17","PS, SR, CW ","59","81","74","76","83","70",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALSS50-4","B2","5X5","2019-08-17","PS, SR, CW ","36","32","52","44","49","28",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF20-1","B1","10x10","2019-08-16","PS, SR, CW","70","81","88","80","85","86",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF20-1","B2","10x10","2019-08-16","PS, SR, CW","60","61","53","56","42","45",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF20-26","B1","5X5","2019-08-15","SR, MB,PS,CW",">100",">100",">100",">100",">100",">100",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF20-26","B2","5X5","2019-08-15","SR, MB,PS,CW",">100",">100",">100",">100",">100",">100",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF20-47","B1","5X10","2019-08-20","SR, MB,PS,CW","58","69","72","74","63","57",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF20-47","B2","5X10","2019-08-20","SR, MB,PS,CW","72","65","57","63","68","71",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF20-200","B1","10X10","2019-08-14","SR, MB,PS,CW","34","41","50","29","50","55",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"all rocks; dry upland- hit sand than rocks, no ice"
