"site","plot","date","observers","latitude","longitude","time","plot_size","live_canopy_closure","med_shrub_cover","dominant_species","ecosystem_type","aspect","slope_position","slope_percent","elevation","wetness","soil_ph","camera","site_photo_n","site_photo_e","site_photo_s","site_photo_w","site_photo_nadir","other_photos","os_top_condition","os_top_thickness","os_dead_moss_layer_thickness","os_upper_duff_layer_thickness","os_lower_duff_layer_thickness","total_peat_depth","total_peat_depth_notes","gc_sphag_coverage","gc_sphag_distribution","gc_feather_moss_coverage","gc_feather_moss_distribution","gc_reindeer_lichen_coverage","gc_reindeer_lichen_distribution","gc_other_lichen_coverage","gc_other_lichen_distribution","gc_grasses_coverage","gc_grasses_distribution","gc_low_shrubs_coverage","gc_low_shrubs_distribution","gc_woody_debris_coverage","gc_woody_debris_distribution","gc_herbaceous_coverage","gc_herbaceous_distribution","gc_open_water_coverage","gc_open_water_distribution","gc_other_type","gc_other_coverage","gc_other_distribution","other_species_present_5","notes"
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW",60.96903,-117.29612,"9:00","5x10",15,5,"Picea mariana","Bog","flat","flat",0,223,"Moist",-9999,1657,"100-0403","100-0404","100-0405","100-0406","100-0407",NA,"Live",3,3,10,26,42,"",70,NA,0,"0",25,NA,0,"0",5,NA,15,NA,"1",NA,"5",NA,0,0,"0",0,"0","0","Groundcover sphagnum moss; ""Fenny Bog"""
"VALSS3-205","B2","2019-08-19","SR, MB,PS,CW",60.96896,-117.29664,"10:00","5X10",15,10,"Picea mariana","Bog","flat","flat",0,224,"Moist",-9999,1657,"100-0408","100-0409","100-0410","100-0411","100-0412",NA,"Live",1.5,0.5,3,20,25,"",40,NA,0,"0",60,NA,0,"0",5,NA,30,NA,"2",NA,"15",NA,0,0,"0",0,"0","0","Groundcover reindeer lichen; ""Fenny Bog"""
"VALSS50-4","B1","2019-08-17","PS, SR, CW",60.96571,-117.1767,"13:45","5X5",25,0,"Picea mariana","Fen","flat","flat",0,234,"Moist",-9999,1657,"100-0278","100-0279","100-0280","100-0281","100-0282",NA,"Live",1.5,2,10,36.5,53,"",80,"E",0,"0",0,"0",0,"0",20,NA,15,NA,"1",NA,"30",NA,0,0,"polytrichum ",20,NA,"0","Ground Cover is in 5x5 plot. Groundcover sphagnum moss"
"VALSS50-4","B2","2019-08-17","PS, SR, CW",60.96533,-117.17675,"14:30","5X5",15,20,"Picea mariana","Fen","flat","flat",0,237,"Moist",-9999,1657,"100-0283","100-0284","100-0285","100-0286","100-0287",NA,"Live",1,2,5,16,9,"",0,"0",70,NA,10,NA,0,"0",0.1,NA,30,NA,"5",NA,"5",NA,0,0,"0",0,"0","0","Groundcover feathermoss"
"VALZF20-1","B1","2019-08-16","PS, SR, CW",61.41003,-117.42525,"12:30","10x10",40,10,"Picea mariana","Bog","flat","flat",0,168,"Moist",-9999,1657,"100-0150","100-0151","100-0152","100-0153","100-0154",NA,"Live",2,2,3,NA,7,"",15,"E",70,"E",0,"0",0,"0",2,NA,5,NA,"15",NA,"10",NA,0,0,"0",0,"0","cornus canadensis, rose","Groundcover feathermoss"
"VALZF20-1","B2","2019-08-16","PS, SR, CW",61.41014,-117.4253,"13:00","10x10",30,20,"Picea mariana","Bog","flat","flat",0,167,"Moist",-9999,1657,"100-0157","100-0158","100-0159","100-0160","100-0161","0162-0187","Live",2,3,1,NA,9.5,"",0,"0",70,NA,0,"0",0,"0",3,NA,10,NA,"5",NA,"30",NA,0,0,"bare ground",30,"P","cornus canadensis","Groundcover feathermoss"
"VALZF20-26","B1","2019-08-15","SR, MB,PS,CW",61.76906,-116.78771,"9:45","5X5",40,15,"Picea mariana","Bog","flat","flat",0,227,"Soggy",-9999,1657,"100-0083","100-0084","100-0085","100-0086","100-0087",NA,"Live sphagnum",2,1,8,39,45,"",70,NA,0,"0",10,NA,0,"0",15,NA,10,NA,"15",NA,"15",NA,0,0,"0",0,"0","Labrador tea, unknown (100-0086), equisetum, crowberry",""
"VALZF20-26","B2","2019-08-15","SR, MB,PS,CW",61.76902,-116.78793,"11:00","5X5",30,10,"Picea mariana","Bog","flat","flat",0,230,"Moist",-9999,1657,"100-0089","100-0090","100-0091","100-0092","100-0093",NA,"Live",1,4,NA,45,55,"",60,NA,0,"0",5,NA,0,"0",15,NA,10,NA,"5",NA,"3",NA,0,0,"0",0,"0","equisetum, labrador tea, blueberry","Groundcover sphagnum moss"
"VALZF20-47","B1","2019-08-20","SR, MB,PS,CW",62.02862,-116.31467,"10:30","5X10",5,10,"Picea mariana","fen","flat","flat",0,210,"Moist",-9999,1657,"100-0565","100-0566","100-0567","100-0568","100-0569",NA,"Live",1,0,2,66,69,"",0,"0",70,NA,0,"0",0,"0",10,NA,70,NA,"0","0","15",NA,0,0,"0",0,"0","bearberry, crowberry, cranberry",""
"VALZF20-47","B2","2019-08-20","SR, MB,PS,CW",62.02876,-116.31444,"11:45","5X10",5,10,"Picea mariana","fen","flat","flat",0,212,"Moist",-9999,1657,"100-0570","100-0571","100-0572","100-0573","100-0574",NA,"0",0,0.5,0,67.5,68,"",0,"0",10,NA,0,"0",0,"0",5,NA,50,NA,"2",NA,"5",NA,0,0,"0",0,"0","bearberry, cranberry, fireweed",""
