"site","plot","date","observers","plot_size","life_form","species","status","condition","diameter_type","diameter","height","height_to_lowest_living_branch","notes"
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",2,1,0.5,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",2,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Dead","standing","basal",3.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Larix larcina","Live","standing","DBH",9,12,4,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Shrub","Ledum groenlandicum","Live","standing","basal",0.7,1,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",5,5,0.75,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",3.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",4.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",4,2.5,1,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",5.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",2.25,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",3,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",2,1.5,0.75,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Dead","standing","basal",3,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Larix larcina","Live","standing","DBH",7,9,8,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Shrub","Ledum groenlandicum","Live","standing","basal",1,1.1,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",2.25,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",4,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",2.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Larix larcina","Live","standing","DBH",2.25,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Shrub","Ledum groenlandicum","Live","standing","basal",0.8,1.1,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",7.5,20,10,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",3,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",5.5,5,0.1,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Shrub","Ledum groenlandicum","Live","standing","basal",1,1,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",10.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Larix larcina","Live","standing","DBH",3.5,4.5,1.5,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Shrub","Ledum groenlandicum","Live","standing","basal",0.8,1,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Dead","standing","basal",5.5,-9999,-9999,""
"VALSS3-205","B1","2019-08-19","SR, MB,PS,CW","5x10","Tree","Picea mariana","Live","standing","basal",7.5,-9999,-9999,""
