"site","date","latitude","longitude","burnseverity","seedling_sprouting","biophysical","soil_moisture","nadir_cover","frozen_depth","notes","location"
"SS3-64-1","2019-08-19",60.92127,-117.0255,"2015","Yes","No","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"SS3-64-2","2019-08-19",60.92111,-117.02518,"2015","Yes","No","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"SS3-64-3","2019-08-19",60.92097,-117.02488,"2015","Yes","No","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"SS3-64-4","2019-08-19",60.92055,-117.02541,"2015","Yes","No","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"SS3-64-5","2019-08-19",60.92068,-117.02576,"2015","Yes","No","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"SS3-64-6","2019-08-19",60.92055,-117.02541,"2015","Yes","No","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"SS3-65-1","2019-08-19",60.92351,-117.02273,"2015","Yes","No","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"SS3-65-2","2019-08-19",60.92347,-117.02314,"2015","Yes","No","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"SS3-65-3","2019-08-19",60.92342,-117.02364,"2015","Yes","No","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"SS3-65-4","2019-08-19",60.92313,-117.02267,"2015","Yes","No","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"SS3-65-5","2019-08-19",60.92295,-117.0229,"2015","Yes","No","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"SS3-65-6","2019-08-19",60.92291,-117.02334,"2015","Yes","No","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"SS3-104-1","2019-08-19",60.93871,-117.40398,"2016","Yes","No","Yes","SS","SS","","FP"
"SS3-104-2","2019-08-19",60.93852,-117.40405,"2016","Yes","No","Yes","SS","SS","","FP"
"SS3-104-3","2019-08-19",60.93835,-117.40403,"2016","Yes","No","Yes","SS","SS","","FP"
"SS3-104-4","2019-08-19",60.93875,-117.4049,"2016","Yes","No","Yes","SS","SS","","FP"
"SS3-104-5","2019-08-19",60.93857,-117.40493,"2016","Yes","No","Yes","SS","SS","","FP"
"SS3-104-6","2019-08-19",60.93839,-117.40493,"2016","Yes","No","Yes","SS","SS","","FP"
"SS3-200-1","2019-08-19",60.95745,-117.34259,"2017","Yes","2017","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"SS3-200-2","2019-08-19",60.95736,-117.34216,"2017","Yes","2017","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"SS3-200-3","2019-08-19",60.95725,-117.3418,"2017","Yes","2017","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"SS3-200-4","2019-08-19",60.95716,-117.34132,"2017","Yes","2017","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"SS3-200-5","2019-08-19",60.95718,-117.3409,"No","Yes","No","Yes","SS; SM","SS","again 9/5/19 but no 6"" probe","FP"
"VALSS3-205-1","2019-08-19",60.9691,-117.29649,"Unburned","No","Yes","Yes","No","B","again 9/5/19 but no 6"" probe; Biophysical sites B1 and B2 instead of 1-5","FP"
"VALSS3-205-2","2019-08-19",60.96917,-117.29617,"Unburned","No","Yes","Yes","No","B","again 9/5/19 but no 6"" probe; Biophysical sites B1 and B2 instead of 1-5","FP"
"VALSS3-205-3","2019-08-19",60.96893,-117.29603,"Unburned","No","Yes","Yes","No","B","again 9/5/19 but no 6"" probe; Biophysical sites B1 and B2 instead of 1-5","FP"
"VALSS3-205-4","2019-08-19",60.96884,-117.29662,"Unburned","No","Yes","Yes","No","B","again 9/5/19 but no 6"" probe; Biophysical sites B1 and B2 instead of 1-5","FP"
"VALSS3-205-5","2019-08-19",60.9691,-117.29668,"Unburned","No","Yes","Yes","No","B","again 9/5/19 but no 6"" probe; Biophysical sites B1 and B2 instead of 1-5","FP"
