"site.plot","date","observers","plot_size","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","notes"
"SS3-64-1","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-64-2","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-64-3","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-64-4","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-64-5","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-64-6","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-65-1","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-65-2","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-65-3","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-65-4","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-65-5","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-65-6","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-104-1","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-104-2","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-104-3","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-104-4","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-104-5","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-104-6","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-200-1","2019-08-19","CW, SR, PS, MB","10x10","77","83","98",">100",">100","72",""
"SS3-200-2","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-200-3","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-200-4","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS3-200-5","2019-08-19","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS50-3-1","2019-08-17","SR, CW","10x10","89","72","84","85","78","63",""
"SS50-3-2","2019-08-17","SR, CW","10x10","32","38","38","47","37","45",""
"SS50-3-3","2019-08-17","SR, CW","10x10","43","66",">100",">100",">100","99",""
"SS50-3-4","2019-08-17","CW, SR, PS","10x10","45","54","30","33","42","53","rock for all samples"
"SS50-3-5","2019-08-17","CW, SR, PS, MB","10x10","66","69","74","78","57","62",""
"SS50-7-1","2019-08-18","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS50-7-2","2019-08-18","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS50-7-3","2019-08-18","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS50-7-4","2019-08-18","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS50-7-5","2019-08-18","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS50-7-6","2019-08-18","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS50-120-1","2019-08-17","CW, SR, PS, MB","10x10","30","33","29","25","38","29",""
"SS50-120-2","2019-08-17","CW, SR, PS, MB","10x10","48","49","41","36","41","37",""
"SS50-120-3","2019-08-17","CW, SR, PS, MB","10x10","22","25","13","16","19","21",""
"SS50-120-5","2019-08-17","CW, SR, PS, MB","10x10","46","42","39","51","46","46",""
"SS50-120-6","2019-08-17","CW, SR, PS, MB","10x10","44","46","36","35","43","44",""
"SS50-200-1","2019-08-18","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS50-200-2","2019-08-18","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS50-200-3","2019-08-18","CW, SR, PS, MB","10x10","97","102",">100",">100",">100",">100",""
"SS50-200-4","2019-08-18","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
