"site","observers","date","start_time","weather","past_12_hours","site_notes","probe_depth","soil_temp_plot1","vwc_plot1","plot_1_period","soil_temp_plot2","vwc_plot2","plot_2_period","soil_temp_plot3","vwc_plot3","plot_3_period","soil_temp_plot4","vwc_plot4","plot_4_period","soil_temp_plot5","vwc_plot5","plot_5_period","soil_temp_plot6","vwc_plot6","plot_6_period"
"ZF46-14","SR, PS",2019-08-13,"16:30","Overcast","rain","Flag 5 labeled as center, some standing water in plots, ~20%-40% throughout site",6,11.4,38,1.02,11.8,39,1.03,11.5,40,1.04,11,27,0.96,10.7,22,0.93,10.8,30,0.98
"ZF46-14","SR, PS",2019-08-13,"16:30","Overcast","rain","Flag 5 labeled as center, some standing water in plots, ~20%-40% throughout site",6,11.4,33,1,11.8,46,1.07,11.5,62,1.14,11,17,0.9,10.7,36,1.01,10.8,37,1.02
"ZF46-14","SR, PS",2019-08-13,"16:30","Overcast","rain","Flag 5 labeled as center, some standing water in plots, ~20%-40% throughout site",6,11.4,42,1.04,11.8,47,1.07,11.5,42,1.05,11,21,0.92,10.7,37,1.02,10.8,33,0.99
"ZF46-14","SR, PS",2019-08-13,"16:30","Overcast","rain","Flag 5 labeled as center, some standing water in plots, ~20%-40% throughout site",6,11.4,25,0.95,11.8,35,1.01,11.5,51,1.05,11,23,0.94,10.7,20,0.92,10.8,26,0.96
"ZF46-14","SR, PS",2019-08-13,"16:30","Overcast","rain","Flag 5 labeled as center, some standing water in plots, ~20%-40% throughout site",6,11.4,49,1.08,11.8,41,1.04,11.5,33,1,11,25,0.95,10.7,40,1.03,10.8,43,1.05
"ZF46-14","SR, PS",2019-08-13,"16:30","Overcast","rain","Flag 5 labeled as center, some standing water in plots, ~20%-40% throughout site",12,11.4,28,0.97,11.8,82,1.23,11.5,46,1.07,11,55,1.11,10.7,47,1.07,10.8,51,1.09
"ZF46-14","SR, PS",2019-08-13,"16:30","Overcast","rain","Flag 5 labeled as center, some standing water in plots, ~20%-40% throughout site",12,11.4,61,1.14,11.8,78,1.21,11.5,63,1.15,11,53,1.1,10.7,51,1.09,10.8,56,1.11
"ZF46-14","SR, PS",2019-08-13,"16:30","Overcast","rain","Flag 5 labeled as center, some standing water in plots, ~20%-40% throughout site",12,11.4,59,1.13,11.8,83,1.24,11.5,41,1.04,11,56,1.12,10.7,60,1.14,10.8,67,1.17
"ZF46-14","SR, PS",2019-08-13,"16:30","Overcast","rain","Flag 5 labeled as center, some standing water in plots, ~20%-40% throughout site",12,11.4,57,1.12,11.8,64,1.15,11.5,42,1.04,11,41,1.04,10.7,60,1.14,10.8,57,1.12
"ZF46-14","SR, PS",2019-08-13,"16:30","Overcast","rain","Flag 5 labeled as center, some standing water in plots, ~20%-40% throughout site",12,11.4,50,1.09,11.8,93,1.28,11.5,59,1.13,11,32,0.99,10.7,65,1.16,10.8,47,1.07
"ZF46-14","SR, PS",2019-08-13,"16:30","Overcast","rain","Flag 5 labeled as center, some standing water in plots, ~20%-40% throughout site",20,11.4,57,1.31,11.8,90,1.54,11.5,24,1.04,11,38,1.16,10.7,32,1.1,10.8,46,1.23
"ZF46-14","SR, PS",2019-08-13,"16:30","Overcast","rain","Flag 5 labeled as center, some standing water in plots, ~20%-40% throughout site",20,11.4,54,1.28,11.8,72,1.42,11.5,33,1.11,11,54,1.28,10.7,37,1.15,10.8,57,1.31
"ZF46-14","SR, PS",2019-08-13,"16:30","Overcast","rain","Flag 5 labeled as center, some standing water in plots, ~20%-40% throughout site",20,11.4,50,1.25,11.8,87,1.51,11.5,28,1.07,11,40,1.18,10.7,58,1.31,10.8,38,1.16
"ZF46-14","SR, PS",2019-08-13,"16:30","Overcast","rain","Flag 5 labeled as center, some standing water in plots, ~20%-40% throughout site",20,11.4,59,1.32,11.8,90,1.53,11.5,31,1.1,11,36,1.14,10.7,66,1.37,10.8,43,1.2
"ZF46-14","SR, PS",2019-08-13,"16:30","Overcast","rain","Flag 5 labeled as center, some standing water in plots, ~20%-40% throughout site",20,11.4,60,1.33,11.8,83,1.49,11.5,49,1.24,11,19,0.99,10.7,70,1.4,10.8,42,1.19
"ZF46-5","HS, DU,MB, CW, SR",2019-08-13,"17:30","Cloudy 55 F","Rainy","Plot 3 - no flag",6,11.3,48,1.08,12.8,15,0.88,12.1,42,1.04,11.3,8,0.84,12.7,26,0.95,12.4,24,0.94
"ZF46-5","HS, DU,MB, CW, SR",2019-08-13,"17:30","Cloudy 55 F","Rainy","Plot 3 - no flag",6,11.3,49,1.08,12.8,44,1.05,12.1,33,0.99,11.3,9,0.84,12.7,25,0.95,12.4,21,0.92
"ZF46-5","HS, DU,MB, CW, SR",2019-08-13,"17:30","Cloudy 55 F","Rainy","Plot 3 - no flag",6,11.3,30,0.98,12.8,51,1.09,12.1,38,1.02,11.3,34,1,12.7,23,0.94,12.4,19,0.91
"ZF46-5","HS, DU,MB, CW, SR",2019-08-13,"17:30","Cloudy 55 F","Rainy","Plot 3 - no flag",6,11.3,58,1.12,12.8,22,0.93,12.1,45,1.06,11.3,18,0.91,12.7,55,1.11,12.4,18,0.9
"ZF46-5","HS, DU,MB, CW, SR",2019-08-13,"17:30","Cloudy 55 F","Rainy","Plot 3 - no flag",6,11.3,49,1.08,12.8,38,1.02,12.1,12,0.86,11.3,17,0.9,12.7,56,1.11,12.4,21,0.92
"ZF46-5","HS, DU,MB, CW, SR",2019-08-13,"17:30","Cloudy 55 F","Rainy","Plot 3 - no flag",12,11.3,34,1,12.8,22,0.93,12.1,48,1.08,11.3,33,1,12.7,20,0.92,12.4,25,0.95
"ZF46-5","HS, DU,MB, CW, SR",2019-08-13,"17:30","Cloudy 55 F","Rainy","Plot 3 - no flag",12,11.3,75,1.2,12.8,16,0.89,12.1,49,1.08,11.3,23,0.93,12.7,20,0.92,12.4,16,0.89
"ZF46-5","HS, DU,MB, CW, SR",2019-08-13,"17:30","Cloudy 55 F","Rainy","Plot 3 - no flag",12,11.3,47,1.07,12.8,30,0.98,12.1,38,1.03,11.3,37,1.02,12.7,13,0.87,12.4,28,0.97
"ZF46-5","HS, DU,MB, CW, SR",2019-08-13,"17:30","Cloudy 55 F","Rainy","Plot 3 - no flag",12,11.3,55,1.11,12.8,78,1.21,12.1,31,0.98,11.3,31,0.98,12.7,24,0.94,12.4,23,0.93
"ZF46-5","HS, DU,MB, CW, SR",2019-08-13,"17:30","Cloudy 55 F","Rainy","Plot 3 - no flag",12,11.3,37,1.02,12.8,31,0.98,12.1,41,1.04,11.3,22,0.93,12.7,19,0.91,12.4,23,0.94
"ZF46-5","HS, DU,MB, CW, SR",2019-08-13,"17:30","Cloudy 55 F","Rainy","Plot 3 - no flag",20,11.3,42,1.2,12.8,28,1.07,12.1,39,1.17,11.3,25,1.04,12.7,16,0.96,12.4,22,1.02
"ZF46-5","HS, DU,MB, CW, SR",2019-08-13,"17:30","Cloudy 55 F","Rainy","Plot 3 - no flag",20,11.3,53,1.28,12.8,24,1.03,12.1,34,1.12,11.3,22,1.02,12.7,28,1.07,12.4,23,1.03
"ZF46-5","HS, DU,MB, CW, SR",2019-08-13,"17:30","Cloudy 55 F","Rainy","Plot 3 - no flag",20,11.3,52,1.27,12.8,32,1.11,12.1,37,1.15,11.3,26,1.05,12.7,56,1.3,12.4,20,1
"ZF46-5","HS, DU,MB, CW, SR",2019-08-13,"17:30","Cloudy 55 F","Rainy","Plot 3 - no flag",20,11.3,48,1.24,12.8,45,1.22,12.1,35,1.14,11.3,22,1.02,12.7,16,0.96,12.4,16,0.96
"ZF46-5","HS, DU,MB, CW, SR",2019-08-13,"17:30","Cloudy 55 F","Rainy","Plot 3 - no flag",20,11.3,40,1.18,12.8,23,1.03,12.1,32,1.1,11.3,21,1.01,12.7,15,0.95,12.4,21,1.01
"VALZF46-10","MB, LBC",2019-08-13,"12:24","overcast 55 F","showers","Labling off on data sheet (flag 1= center, flag 2 = plot 1, flag 3 = plot 2 etc). Corrected in data entry with plot 1= plot 1 etc and plot 5 = center; photos of center on camera MTRI 1657: 100-0001 - 100-0005 (N, E, S< W, Nadir)",6,10.1,111,1.35,9.7,42,1.04,9.4,55,1.11,11,99,1.3,10,79,1.22,-9999,-9999,-9999
"VALZF46-10","MB, LBC",2019-08-13,"12:24","overcast 55 F","showers","Labling off on data sheet (flag 1= center, flag 2 = plot 1, flag 3 = plot 2 etc). Corrected in data entry with plot 1= plot 1 etc and plot 5 = center; photos of center on camera MTRI 1657: 100-0001 - 100-0005 (N, E, S< W, Nadir)",6,10.1,126,1.4,9.7,119,1.38,9.4,47,1.07,11,132,1.42,10,114,1.36,-9999,-9999,-9999
"VALZF46-10","MB, LBC",2019-08-13,"12:24","overcast 55 F","showers","Labling off on data sheet (flag 1= center, flag 2 = plot 1, flag 3 = plot 2 etc). Corrected in data entry with plot 1= plot 1 etc and plot 5 = center; photos of center on camera MTRI 1657: 100-0001 - 100-0005 (N, E, S< W, Nadir)",6,10.1,101,1.31,9.7,9,84,9.4,67,1.18,11,130,1.41,10,28,0.97,-9999,-9999,-9999
"VALZF46-10","MB, LBC",2019-08-13,"12:24","overcast 55 F","showers","Labling off on data sheet (flag 1= center, flag 2 = plot 1, flag 3 = plot 2 etc). Corrected in data entry with plot 1= plot 1 etc and plot 5 = center; photos of center on camera MTRI 1657: 100-0001 - 100-0005 (N, E, S< W, Nadir)",6,10.1,122,1.39,9.7,38,1.02,9.4,50,1.09,11,116,1.36,10,34,1,-9999,-9999,-9999
"VALZF46-10","MB, LBC",2019-08-13,"12:24","overcast 55 F","showers","Labling off on data sheet (flag 1= center, flag 2 = plot 1, flag 3 = plot 2 etc). Corrected in data entry with plot 1= plot 1 etc and plot 5 = center; photos of center on camera MTRI 1657: 100-0001 - 100-0005 (N, E, S< W, Nadir)",6,10.1,109,1.34,9.7,150,1.48,9.4,39,1.03,11,82,1.23,10,128,1.41,-9999,-9999,-9999
"VALZF46-10","MB, LBC",2019-08-13,"12:24","overcast 55 F","showers","Labling off on data sheet (flag 1= center, flag 2 = plot 1, flag 3 = plot 2 etc). Corrected in data entry with plot 1= plot 1 etc and plot 5 = center; photos of center on camera MTRI 1657: 100-0001 - 100-0005 (N, E, S< W, Nadir)",12,10.1,141,1.45,9.7,77,1.21,9.4,82,1.24,11,154,1.49,10,123,1.39,-9999,-9999,-9999
"VALZF46-10","MB, LBC",2019-08-13,"12:24","overcast 55 F","showers","Labling off on data sheet (flag 1= center, flag 2 = plot 1, flag 3 = plot 2 etc). Corrected in data entry with plot 1= plot 1 etc and plot 5 = center; photos of center on camera MTRI 1657: 100-0001 - 100-0005 (N, E, S< W, Nadir)",12,10.1,134,1.43,9.7,134,1.43,9.4,93,1.28,11,137,1.49,10,80,1.22,-9999,-9999,-9999
"VALZF46-10","MB, LBC",2019-08-13,"12:24","overcast 55 F","showers","Labling off on data sheet (flag 1= center, flag 2 = plot 1, flag 3 = plot 2 etc). Corrected in data entry with plot 1= plot 1 etc and plot 5 = center; photos of center on camera MTRI 1657: 100-0001 - 100-0005 (N, E, S< W, Nadir)",12,10.1,159,1.51,9.7,130,1.41,9.4,79,1.22,11,137,1.44,10,100,1.3,-9999,-9999,-9999
"VALZF46-10","MB, LBC",2019-08-13,"12:24","overcast 55 F","showers","Labling off on data sheet (flag 1= center, flag 2 = plot 1, flag 3 = plot 2 etc). Corrected in data entry with plot 1= plot 1 etc and plot 5 = center; photos of center on camera MTRI 1657: 100-0001 - 100-0005 (N, E, S< W, Nadir)",12,10.1,114,1.36,9.7,92,1.27,9.4,72,1.19,11,127,1.4,10,96,1.29,-9999,-9999,-9999
